2001-01-13,52,Emotional,Carl Thomas
2001-01-13,53,We Danced,Brad Paisley
2001-01-13,54,Project Chick,Cash Money Millionaires
2001-01-13,55,She Bangs,Ricky Martin
2001-01-13,56,Angel,Shaggy Featuring Rayvon
2001-01-13,57,Ashes By Now,Lee Ann Womack
2001-01-13,58,Just Another Day In Paradise,Phil Vassar
2001-01-13,59,Burn,Jo Dee Messina
2001-01-13,60,It's Over Now,112
2001-01-13,61,Loser,3 Doors Down
2001-01-13,62,Babylon,David Gray
2001-01-13,63,www.memory,Alan Jackson
2001-01-13,64,Still On Your Side,BBMak
2001-01-13,65,There Is No Arizona,Jamie O'Neal
2001-01-13,66,911,Wyclef Jean Featuring Mary J. Blige
2001-01-13,67,You Make Me Sick,P!nk
2001-01-13,68,You Shouldn't Kiss Me Like This,Toby Keith
2001-01-13,69,Stan,Eminem Featuring Dido
2001-01-13,70,Stutter,Joe Featuring Mystikal
2001-01-13,71,Is That Your Chick,Memphis Bleek Featuring Jay-Z & Missy Elliott
2001-01-13,72,Wild Horses,Garth Brooks
2001-01-13,73,But For The Grace Of God,Keith Urban
2001-01-13,74,The Little Girl,John Michael Montgomery
2001-01-13,75,Butterfly,Crazy Town
2001-01-13,76,The Itch,Vitamin C
2001-01-13,77,This Everyday Love,Rascal Flatts
2001-01-13,78,Rollin',Limp Bizkit
2001-01-13,79,Stranger In My House,Tamia
2001-01-13,80,Thank You,Dido
2001-01-13,81,Liar,Profyle
2001-01-13,82,Meanwhile Back At The Ranch,The Clark Family Experience
2001-01-13,83,X,Xzibit
2001-01-13,84,Could It Be,Jaheim
2001-01-13,85,Girls Dem Sugar,Beenie Man Featuring Mya
2001-01-13,86,You Should've Told Me,Kelly Price
2001-01-13,87,Can't Fight The Moonlight,LeAnn Rimes
2001-01-13,88,Oh No,Mos Def & Pharoahe Monch Featuring Nate Dogg
2001-01-13,89,Original Prankster,The Offspring
2001-01-13,90,Oklahoma,Billy Gilman
2001-01-13,91,Feels Like Love,Vince Gill
2001-01-13,92,Thank You In Advance,Boyz II Men
2001-01-13,93,Bouncing Off The Ceiling (Upside Down),A*Teens
2001-01-13,94,My Baby You,Marc Anthony
2001-01-13,95,Lady (Hear Me Tonight),Modjo
2001-01-13,96,Cha-Cha Slide,Mr. C The Slide Man
2001-01-13,97,Go On,George Strait
2001-01-13,98,After Party,Koffee Brown
2001-01-13,99,A Little Gasoline,Terri Clark
2001-01-13,100,Bounce With Me,Lil Bow Wow Featuring Xscape
2001-01-20,1,Independent Women Part I,Destiny's Child
2001-01-20,2,It Wasn't Me,Shaggy Featuring Ricardo RikRok Ducent
2001-01-20,3,He Loves U Not,Dream
2001-01-20,4,Case Of The Ex (Whatcha Gonna Do),Mya
2001-01-20,5,With Arms Wide Open,Creed
2001-01-20,6,Ms. Jackson,OutKast
2001-01-20,7,If You're Gone,matchbox twenty
2001-01-20,8,The Way You Love Me,Faith Hill
2001-01-20,9,Again,Lenny Kravitz
2001-01-20,10,Love Don't Cost A Thing,Jennifer Lopez
2001-01-20,11,This I Promise You,'N Sync
2001-01-20,12,I Just Wanna Love U (Give It 2 Me),Jay-Z
2001-01-20,13,Kryptonite,3 Doors Down
2001-01-20,14,I Wish,R. Kelly
2001-01-20,15,Stronger,Britney Spears
2001-01-20,16,Dance With Me,Debelah Morgan
2001-01-20,17,E.I.,Nelly
2001-01-20,18,Crazy For This Girl,Evan And Jaron
2001-01-20,19,Don't Tell Me,Madonna
2001-01-20,20,Danger (Been So Long),Mystikal Featuring Nivea
2001-01-20,21,Most Girls,Pink
2001-01-20,22,Beautiful Day,U2
2001-01-20,23,Gotta Tell You,Samantha Mumba
2001-01-20,24,Shape Of My Heart,Backstreet Boys
2001-01-20,25,What's Your Fantasy,Ludacris Featuring Shawna
2001-01-20,26,Crazy,K-Ci & JoJo
2001-01-20,27,Put It On Me,Ja Rule Featuring Lil' Mo & Vita
2001-01-20,28,Stutter,Joe Featuring Mystikal
2001-01-20,29,Bow Wow (That's My Name),Lil Bow Wow
2001-01-20,30,Hemorrhage (In My Hands),Fuel
2001-01-20,31,My First Love,Avant Featuring Ketara Wyatt
2001-01-20,32,Liquid Dreams,O-Town
2001-01-20,33,My Next Thirty Years,Tim McGraw
2001-01-20,34,Pinch Me,Barenaked Ladies
2001-01-20,35,Without You,Dixie Chicks
2001-01-20,36,Born To Fly,Sara Evans
2001-01-20,37,South Side,Moby Featuring Gwen Stefani
2001-01-20,38,My Everything,98 Degrees
2001-01-20,39,Angel,Shaggy Featuring Rayvon
2001-01-20,40,No More (Baby I'ma Do Right),3LW
2001-01-20,41,Just Friends (Sunny),Musiq Soulchild
2001-01-20,42,Between Me And You,Ja Rule Featuring Christina Milian
2001-01-20,43,Tell Her,Lonestar
2001-01-20,44,Music,Madonna
2001-01-20,45,I Lost It,Kenny Chesney
2001-01-20,46,So In Love With Two,Mikaila
2001-01-20,47,Promise,Jagged Edge
2001-01-20,48,Bent,matchbox twenty
2001-01-20,49,Emotional,Carl Thomas
2001-01-20,50,One Woman Man,Dave Hollister
2001-01-20,51,Project Chick,Cash Money Millionaires
2001-01-20,52,Ashes By Now,Lee Ann Womack
2001-01-20,53,Burn,Jo Dee Messina
